2018.01.19_07.33.22,-8.388217,51.9356,0,B,2,3G,-105,-12,11,10,-84,3890,486208,558,D,-111,-19,-8.378733,51.930323,875.85
2018.01.19_07.33.23,-8.388217,51.9356,0,B,2,3G,-98,-12,11,12,-81,4299,537392,336,D,-,-,-8.378733,51.930323,875.85
2018.01.19_07.33.24,-8.388217,51.9356,0,B,2,3G,-98,-12,11,10,-85,3042,380304,296,D,-,-,-8.378733,51.930323,875.85
2018.01.19_07.33.25,-8.388217,51.9356,0,B,2,3G,-103,-12,9,10,-85,2916,364456,208,D,-111,-19,-8.378733,51.930323,875.85
2018.01.19_07.33.26,-8.388217,51.9356,0,B,2,3G,-103,-12,9,10,-85,2784,348040,257,D,-111,-19,-8.378733,51.930323,875.85
2018.01.19_07.33.27,-8.388217,51.9356,0,B,2,3G,-101,-11,11,9,-82,3036,379504,271,D,-107,-17,-8.378733,51.930323,875.85
2018.01.19_07.33.28,-8.388217,51.9356,0,B,2,3G,-101,-11,11,9,-80,2839,354880,294,D,-107,-17,-8.378733,51.930323,875.85
2018.01.19_07.33.29,-8.388217,51.9356,0,B,2,3G,-98,-11,13,9,-80,2390,298792,484,D,-103,-17,-8.378733,51.930323,875.85
2018.01.19_07.33.31,-8.388217,51.9356,0,B,2,3G,-98,-11,13,9,-80,2156,269496,378,D,-103,-17,-8.378733,51.930323,875.85
2018.01.19_07.33.32,-8.388217,51.9356,0,B,2,3G,-101,-12,11,9,-84,2347,293319,447,D,-104,-16,-8.378733,51.930323,875.85
2018.01.19_07.33.33,-8.388217,51.9356,0,B,2,3G,-101,-12,11,9,-84,1996,249544,373,D,-104,-16,-8.378733,51.930323,875.85
2018.01.19_07.33.34,-8.388217,51.9356,0,B,2,3G,-97,-11,10,10,-84,1893,236664,370,D,-101,-15,-8.378733,51.930323,875.85
2018.01.19_07.33.35,-8.388217,51.9356,0,B,2,3G,-97,-11,11,9,-87,1821,227656,170,D,-101,-15,-8.378733,51.930323,875.85
2018.01.19_07.33.36,-8.388217,51.9356,0,B,2,3G,-104,-13,8,9,-85,2014,251712,168,D,-105,-15,-8.378733,51.930323,875.85
2018.01.19_07.33.37,-8.388217,51.9356,0,B,2,3G,-104,-13,8,9,-85,1854,231760,224,D,-105,-15,-8.378733,51.930323,875.85
2018.01.19_07.33.38,-8.388217,51.9356,0,B,2,3G,-96,-14,6,6,-79,1909,238600,220,D,-101,-14,-8.378733,51.930323,875.85
2018.01.19_07.33.40,-8.388217,51.9356,0,B,2,3G,-96,-14,6,8,-85,2233,279072,159,D,-101,-14,-8.378733,51.930323,875.85
2018.01.19_07.33.41,-8.388217,51.9356,0,B,2,3G,-100,-13,7,9,-83,2259,282376,380,D,-102,-13,-8.378733,51.930323,875.85
2018.01.19_07.33.42,-8.388217,51.9356,0,B,2,3G,-100,-13,7,9,-83,2281,285112,285,D,-102,-13,-8.378733,51.930323,875.85
2018.01.19_07.33.43,-8.388217,51.9356,0,B,2,3G,-97,-14,4,7,-83,2725,340632,188,D,-97,-13,-8.378733,51.930323,875.85
2018.01.19_07.33.44,-8.388217,51.9356,0,B,2,3G,-97,-14,4,6,-81,2193,274168,196,D,-97,-13,-8.378733,51.930323,875.85
2018.01.19_07.33.45,-8.388217,51.9356,0,B,2,3G,-98,-14,3,7,-84,1537,192088,118,D,-101,-14,-8.378733,51.930323,875.85
